URL,Name,Is_ISA_Compatible,Ticker,SEDOL_ID,Sector,ETF_Type,Top10_Exposures,Currency,Open_price,Year_low,Year_high,Dividend_yield,PE_ratio,Market_capitalisation,Volume,GBP_Open,GBP_Year_low,GBP_Year_high,GBP_Market_capitalisation
https://www.hl.co.uk/shares/shares-search-results/a/abcellera-biologics-inc-npv,AbCellera Biologics Inc NPV,TRUE,ABCL,BL53SR3,Unspecified,## Not ETF,None,USD,10.55,2.745,10.55,0%,0,3710000000,1088789,7.80781752,2.03151271,7.80781752,2745687488
https://www.hl.co.uk/shares/shares-search-results/a/abcourt-mines-class-b,Abcourt Mines Class B,TRUE,ABI,2002510,Unspecified,## Not ETF,None,CAD,0.08,0.055,0.08,0%,0,97.28,285500,0.042737228,0.029381844,0.042737228,51.96846925
https://www.hl.co.uk/shares/shares-search-results/a/aben-gold-corp-npv,Aben Gold Corp NPV,TRUE,ABM,BQ72N67,Unspecified,## Not ETF,None,CAD,0.19,0.065,0.19,0%,0,7.11,23300,0.101500917,0.034723998,0.101500917,3.798271139
https://www.hl.co.uk/shares/shares-search-results/a/abeo-sa-eur0.75,Abeo SA EUR0.75,TRUE,ABEO,BZ13Z30,Unspecified,## Not ETF,None,EUR,8.5,7.52,8.5,3.78%,7.48,70.48,1435,7.297339335,6.455999035,7.297339335,60.50782074480001
https://www.hl.co.uk/shares/shares-search-results/a/abeona-therapeutics-inc-usd0.01,Abeona Therapeutics Inc USD0.01,TRUE,ABEO,BMZ4B74,Unspecified,## Not ETF,None,USD,5.55,4,5.55,0%,0,334.53,1598025,4.10743007,2.96030996,4.10743007,247.57812272969997
https://www.hl.co.uk/shares/shares-search-results/a/abercrombie-and-fitch-usd,Abercrombie & Fitch USD,TRUE,ANF,2004185,Unspecified,## Not ETF,None,USD,144.1,65.46,144.1,0%,12.97,6450000000,362468,106.64516630899999,48.4454725,106.64516630899999,4773499811
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-asia-focus-plc-ord-gbp0.05,Aberdeen Asia Focus Plc ORD GBP0.05,TRUE,AAS,BMF19B5,Trust,## Not ETF,"Taiwan Union Technology Corp (4.78139%), Chroma Ate Inc (4.21003%), Precision Tsugami (China) Corp Ltd (3.73901%), Sino-American Silicon Products Inc (3.61355%), Hansol Chemical Co Ltd (3.16526%), Mobile World Investment Corp (2.86516%), M P Evans Group Plc Ordinary 10p Shares (2.69181%), Asia Vital Components Co Ltd (2.58521%), Grand Process Technology Corp (2.55880%), Aegis Logistics Ltd (2.51464%)",GBX,447,348,447,1.42%,7.95155,606.6,42911,4.47,3.48,4.47,6.066000000000001
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-asian-incomes-fund-ltd-ord-npv,Aberdeen Asian Incomes Fund Ltd Ord Npv,TRUE,AAIF,B0P6J83,Trust,## Not ETF,"Taiwan Semiconductor Manufacturing Co Ltd (14.11227%), Samsung Electronics Co Ltd Participating Preferred (10.36285%), SK Hynix Inc (5.89662%), MediaTek Inc (3.86752%), Tencent Holdings Ltd (3.65740%), Ping An Insurance (Group) Co. of China Ltd Class H (3.61706%), Samsung Electronics Co Ltd (2.71723%), Shenzhou International Group Holdings Ltd (2.65449%), Rio Tinto plc Ordinary 10p (2.51908%), Sino-American Silicon Products Inc (2.15039%)",GBX,318,248,318,5.08%,6.2803,452.6,254641,3.18,2.48,3.18,4.526000000000001
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-equity-income-trust-plc-ordgbp0.25,Aberdeen Equity Income Trust Plc OrdGBP0.25,TRUE,AEI,0603959,Trust,## Not ETF,"Rio Tinto plc Ordinary 10p (6.11754%), HSBC Holdings plc Ordinary USD0.50 (5.69576%), BP Plc Ordinary US$0.25 (4.26867%), British American Tobacco plc Ordinary 25p (3.65227%), Galliford Try Holdings Plc ORD GBP0.5 (3.61942%), M&G plc ORD GBP0.05 (3.48303%), Legal & General Group plc Ord 2.5p Shares (3.46664%), Imperial Brands Group Ordinary 10p (3.32526%), Chesnara plc Ordinary 5p (3.08759%), OSB Group plc Ord 1p (3.01776%)",GBX,442,360,442,5.15%,6.44306,355.3,94154,4.42,3.6,4.42,3.5530000000000004
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-group-ordinary-13-6163p,Aberdeen Group Ordinary 13 61/63p,TRUE,ABDN,BF8Q6K6,Unspecified,## Not ETF,None,GBX,250.2,179.6,250.2,5.88%,15.49,4450000000,2652650,2.502,1.796,2.502,44500000
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-india-fund-inc-usd0.001,Aberdeen India Fund Inc USD0.001,TRUE,IFN,2445115,Unspecified,## Not ETF,None,USD,11.17,10.725,11.17,14.53%,0,489.83,20962,8.266665563,7.93733108,8.266665563,362.5121569
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-international-inc-com-npv,Aberdeen International Inc Com NPV,TRUE,AAB,2822570,Unspecified,## Not ETF,None,CAD,0.03,0.02,0.03,0%,0,4.01,31000,0.016026461,0.010684307,0.016026461,2.142203554
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-new-india-investment-trust-ordinary-2,Abrdn New India Investment Trust Ordinary 2,TRUE,ANII,0604877,Trust,## Not ETF,"ICICI Bank Ltd (8.64089%), HDFC Bank Ltd (7.88851%), Bharti Airtel Ltd (6.99732%), Mahindra & Mahindra Ltd (5.56140%), Hindalco Industries Ltd (3.38775%), SBI Life Insurance Co Ltd (3.38268%), J.B. Chemicals & Pharmaceuticals Ltd (3.06200%), Bajaj Finance Ltd (3.05585%), Aegis Logistics Ltd (2.87497%), Phoenix Mills Ltd (2.58514%)",GBX,708,610,708,0%,99999.99,304.5,31862,7.08,6.1000000000000005,7.08,3.045
https://www.hl.co.uk/shares/shares-search-results/a/aberdeen-uk-smaller-companies-growth-trust,Aberdeen UK Smaller Companies Growth Trust,TRUE,AUSC,0295958,Trust,## Not ETF,"AJ Bell Plc ORD GBP0.0125 (4.10727%), Morgan Sindall Group plc Ordinary 5p (3.63465%), abrdn Liquidity-Sterling Fund Z-1 IncGBP (3.37538%), Balfour Beatty plc Ordinary 50p (3.32291%), Volex Plc Ordinary 25p Shares (3.24969%), Cairn Homes plc EUR0.001 (3.12803%), Avon Technologies Plc ORD GBP1 (3.01305%), ME Group International plc Ord 0.5p (2.86473%), Paragon Banking Group plc Ord 100p (2.85567%), Hill & Smith Plc Ordinary 25p Shares (2.85115%)",GBX,505,441.5,505,2.62%,20.25041,216.3,39659,5.05,4.415,5.05,2.1630000000000003
https://www.hl.co.uk/shares/shares-search-results/a/aberforth-geared-value-and-income-trust-zdp,Aberforth Geared Value & Income Trust ZDP,TRUE,AGZI,BPJMQ36,Unspecified,## Not ETF,None,GBX,118,113.5,118,0%,0,174.14,0,1.18,1.135,1.18,1.7413999999999998
https://www.hl.co.uk/shares/shares-search-results/a/aberforth-geared-value-and-income-trust-plc2,Aberforth Geared Value & Income Trust Plc,TRUE,AGVI,BPJMQ25,Trust,## Not ETF,"Vesuvius plc Ordinary 10p (3.77686%), Halfords Ordinary 1p Shares (3.20780%), Chesnara plc Ordinary 5p (3.16476%), CMC Markets Plc Ordinary 25p (3.07696%), Rathbones Group plc Ordinary 5p (3.02749%), Mony Group Plc Ord 2p (2.96722%), Ashmore Group ORD0.01 (2.90076%), Jupiter Fund Management PLC Ordinary 2p (2.84762%), Zigup Plc Ord 50p (2.80413%), Domino's Pizza Group plc Ordinary (2.56258%)",GBX,91,76,91,5.62%,38.42941,97.4,15268,0.91,0.76,0.91,0.9740000000000001
https://www.hl.co.uk/shares/shares-search-results/a/aberforth-smaller-companies-trust-ord-1p,Aberforth Smaller Companies Trust Ord 1p,TRUE,ASL,0006655,Trust,## Not ETF,"CMC Markets Plc Ordinary 25p (3.25807%), XP Power Limited Ordinary 1p (3.25310%), EnQuest plc Ordinary 5p (3.15596%), Zigup Plc Ord 50p (2.91265%), Ashmore Group ORD0.01 (2.76556%), Vesuvius plc Ordinary 10p (2.50762%), Rathbones Group plc Ordinary 5p (2.46851%), NCC Group plc Ord GBP0.01 (2.45779%), Mony Group Plc Ord 2p (2.44382%), Morgan Advanced Materials plc Ord 25p (2.42693%)",GBX,1708,1410,1708,2.71%,14.62293,1310000000,129768,17.080000000000002,14.1,17.080000000000002,13100000
https://www.hl.co.uk/shares/shares-search-results/a/abg-sundal-collier-holding-asa-nok0.23,ABG Sundal Collier Holding ASA NOK0.23,TRUE,ABG,4333058,Unspecified,## Not ETF,None,NOK,7.24,6.8,7.24,7.59%,11.32,3830000000,2620062,0.576484566,0.541449592,0.576484566,304963520.20000005
