URL,Name,Is_ISA_Compatible,Ticker,SEDOL_ID,Sector,ETF_Type,Exchange,Country,Indices,Currency,Open_price,Year_low,Year_high,Dividend_yield,PE_ratio,Market_capitalisation,Volume,GBP_Open,GBP_Year_low,GBP_Year_high,GBP_Market_capitalisation
https://www.hl.co.uk/shares/shares-search-results/x/xpeng-inc-ads-each-rep-2-ord-shs-a,XPeng Inc  (XPEV),True,XPEV,BMXR2T4,Automobile Manufacturers,## Not ETF,New York Stock Exchange,Cayman Islands,n/a,USD,9.65,7.51,23.61,0%,0,8860000000,0,7.569757136727159,5.891075243193882,18.520410984261993,6950056811.544313
https://www.hl.co.uk/shares/shares-search-results/x/xperi-inc-com-usd0.001,Xperi Inc  (XPER),True,XPER,BQV3RS6,Systems Software,## Not ETF,-,United States,n/a,USD,10.86,7.91,13.62,0%,0,478130000,0,8.518918394285693,6.204847559742158,10.683947378468797,375059894.278068
https://www.hl.co.uk/shares/shares-search-results/x/xpo-inc-usd0.001,XPO Inc  (XPO),True,XPO,B6Z1355,Cargo Ground Transportation,## Not ETF,New York Stock Exchange,United States,n/a,USD,122.56,29.02,129.13,0%,0,14330000000,0,96.13983779039178,22.764181565577424,101.2935480896972,11240893240.341988
https://www.hl.co.uk/shares/shares-search-results/x/xponential-fitness-inc-usd0.0001-a,Xponential Fitness Inc  (XPOF),True,XPOF,BP0TJN7,Leisure Facilities,## Not ETF,-,United States,n/a,USD,14.66,8.3,33.58,0%,0,707590000,0,11.499755401494316,6.510775568376728,26.34118597422777,555055383.6659865
https://www.hl.co.uk/shares/shares-search-results/x/xps-pensions-group-plc-gbp0.0005,XPS Pensions Group Plc  (XPS),True,XPS,BDDN1T2,General Financial,## Not ETF,London Stock Exchange,,,GBX,226,147,245,3.65%,17.2,47386000000,638157,2.2600000000000002,1.47,2.45,473860000
https://www.hl.co.uk/shares/shares-search-results/x/xr-immersive-tech-inc-npv2,XR Immersive Tech Inc  (VRAI),True,VRAI,BLDBBF8,No specific industry,## Not ETF,-,Canada,n/a,CAD,0.18,0.12,0.27,0%,0,2750000,0,0.10434991234599539,0.06956660823066359,0.15652486851899308,1594234.7719527073
https://www.hl.co.uk/shares/shares-search-results/x/xspray-pharma-ab-npv,Xspray Pharma AB  (XSPRAY),True,XSPRAY,BD8PCR8,Biotechnology,## Not ETF,Stockholm Stock Exchange,Sweden,n/a,SEK,44.3,33,47.9,0%,0,1110000000,0,3.3590953820616734,2.50226066835294,3.6320692731547215,84166949.7536898
https://www.hl.co.uk/shares/shares-search-results/x/xtant-medical-hldgs-inc-usd0.000001,Xtant Medical Hldgs Inc  (XTNT),True,XTNT,BYWFGK2,Health Care Supplies,## Not ETF,-,United States,n/a,USD,1.14,0.56,1.45,0%,0,148330000,0,0.8942511021625866,0.4392812431675865,1.1374246474875005,116354619.28401445
https://www.hl.co.uk/shares/shares-search-results/x/xtl-biopharmaceuticals-ltd-adr,XTL Biopharmaceuticals Ltd  (XTLB),True,XTLB,BD81H48,Biotechnology,## Not ETF,NASDAQ,Israel,n/a,USD,0.85,0.75,1.54,0%,0,5110000,0,0.6667661726650865,0.5883230935280175,1.2080234187108627,4008441.343904226
https://www.hl.co.uk/shares/shares-search-results/x/xtra-gold-resources-corp-npv,Xtra-Gold Resources Corp  (XTG),True,XTG,B7ZP0T7,Gold,## Not ETF,Toronto Stock Exchange,United States,n/a,CAD,1.14,0.76,1.14,0%,0,52820000,0,0.660882778191304,0.44058851879420274,0.660882778191304,30620902.056197092
